"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FYB1",2.32903333333334,6.95741,24.0032353596494,6.87739208593438e-11,1.11962965068152e-08,15.6449896139753
"FHDC1",2.02357333333333,8.63881666666667,24.0017214281214,6.88210591500618e-11,1.11962965068152e-08,15.6442989349833
"JAKMIP2",1.83659,8.31728166666667,23.99972178897,6.88833745280515e-11,1.11962965068152e-08,15.6433865946697
"MCC",1.89417,9.15536833333333,23.9992966494327,6.88966312020883e-11,1.11962965068152e-08,15.6431926128463
"COL21A1",2.21653333333334,7.33535333333333,23.9713725383717,6.97734725046623e-11,1.12418780357726e-08,15.6304431114299
"ANKRD44",1.8665,8.69077333333333,23.8428207108428,7.39698787849744e-11,1.18170015675894e-08,15.5715364857749
"MGP",3.01300666666667,10.3797633333333,23.7369064208218,7.76340421398282e-11,1.2298145616621e-08,15.5227386149736
"SELENOP",2.86302,6.12994333333333,23.6089435693366,8.23268396066454e-11,1.29328604452073e-08,15.4634606338741
"PDZRN3",1.60298,9.14411666666667,23.5454637742123,8.47687184397588e-11,1.32064058785776e-08,15.4339224101456
"SLAIN1",1.81324,9.70678,23.3664770438326,9.2088703239897e-11,1.42292143014369e-08,15.350162421161
"PHC2",-1.59267,9.67933166666667,-23.2962309812625,9.51472431349087e-11,1.45822819539525e-08,15.3170966142396
"POLE2",-2.22983666666667,8.77155166666667,-23.2782976331363,9.59456715347633e-11,1.45860633395308e-08,15.3086375905784
"ZNF536",3.0457,9.06948333333333,23.2417465483263,9.7595678239352e-11,1.47182090439202e-08,15.2913745562033
"CYB5R2",-2.4491,8.50832666666667,-23.0658510504802,1.05980101772059e-10,1.5796045534336e-08,15.2078809117611
"ERV3-1",1.84754333333334,10.261295,23.0570719619393,1.06418640011706e-10,1.5796045534336e-08,15.2036954185135
"KAT2B",1.8246,11.2138666666667,23.0221855055849,1.0818093507354e-10,1.58772886712711e-08,15.1870457992711
"TBL1X",-1.55590666666667,10.0683133333333,-23.0129946695014,1.08650482127949e-10,1.58772886712711e-08,15.1826548633853
"DDIAS",-2.60847333333333,8.45971666666667,-22.9351140563976,1.12719534996499e-10,1.63451996478385e-08,15.14537013687
"GINS1",-1.70266,10.48107,-22.8044086876644,1.19926386501982e-10,1.72064111282225e-08,15.0824840553872
"TINAGL1",-1.84138666666667,9.70130666666667,-22.7946520554442,1.20484126514528e-10,1.72064111282225e-08,15.0777740925696
"H2AC4",-1.71594666666667,8.82763666666667,-22.7259674533834,1.24491332552802e-10,1.76450083455103e-08,15.0445546300371
"DUSP4",-1.71577333333333,9.60328,-22.6774782006921,1.27407596332691e-10,1.7923586555728e-08,15.0210367409413
"ROR1",-1.92956333333333,8.509485,-22.6609217757208,1.28420305965774e-10,1.79322310204505e-08,15.0129941245757
"SLC5A12",1.71844,8.35067,22.6387950633985,1.29787440128154e-10,1.798987524894e-08,15.0022356356869
"MAD2L1",-1.69073666666667,9.95573166666667,-22.5725048553367,1.33979013598739e-10,1.82814039476734e-08,14.9699352727185
"UHRF1",-2.14532666666666,10.35107,-22.5630500691941,1.34588759662961e-10,1.82814039476734e-08,14.9653199564359
"PLP1",1.82343333333334,12.1087833333333,22.5519091661557,1.35311124582953e-10,1.82814039476734e-08,14.9598788693555
"BEST1",2.68249333333333,8.07504333333333,22.5448686127495,1.35769802804852e-10,1.82814039476734e-08,14.9564388380937
"SERPIND1",-1.81724666666666,7.03575333333333,-22.5241552810268,1.3712907922522e-10,1.83169239929919e-08,14.9463114792747
